Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
CRISTIANO RONALDO,06/07,FA CUP,6TH ROUND,2007-03-19,H,MANCHESTER UNITED,MIDDLESBROUGH FC,1:00,OTHER,76,1:00,PENALTY,OTHER
LIONEL MESSI,06/07,LALIGA,28,2007-03-31,H,FC BARCELONA,DEPORTIVO DE LA CORUAA,2:01,RW,45,1:00,LEFT-FOOTED SHOT,RONALDINHO GAACHO
CRISTIANO RONALDO,06/07,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2007-04-10,H,MANCHESTER UNITED,AS ROMA,7:01,RW,49,5:00,RIGHT-FOOTED SHOT,RYAN GIGGS
CRISTIANO RONALDO,06/07,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2007-04-10,H,MANCHESTER UNITED,AS ROMA,7:01,RW,44,4:00,RIGHT-FOOTED SHOT,RYAN GIGGS
CRISTIANO RONALDO,06/07,FA CUP,SEMI-FINALS,2007-04-14,A,MANCHESTER UNITED,WATFORD FC,1:04,OTHER,28,1:02,RIGHT-FOOTED SHOT,WAYNE ROONEY
LIONEL MESSI,06/07,COPA DEL REY,SEMI-FINALS,2007-04-18,H,FC BARCELONA,GETAFE CF,5:02,RW,45,3:00,LEFT-FOOTED SHOT,DECO
LIONEL MESSI,06/07,COPA DEL REY,SEMI-FINALS,2007-04-18,H,FC BARCELONA,GETAFE CF,5:02,RW,29,2:00,SOLO RUN,XAVI
CRISTIANO RONALDO,06/07,UEFA CHAMPIONS LEAGUE,SEMI-FINALS,2007-04-24,H,MANCHESTER UNITED,AC MILAN,3:02,RW,5,1:00,HEADER,RYAN GIGGS
CRISTIANO RONALDO,06/07,PREMIER LEAGUE,37,2007-05-05,A,MANCHESTER UNITED,MANCHESTER CITY,0:01,RW,34,0:01,PENALTY,OTHER
LIONEL MESSI,06/07,LALIGA,35,2007-05-20,A,FC BARCELONA,ATLETICO DE MADRID,0:06,RW,39,0:01,LEFT-FOOTED SHOT,SAMUEL ETOO
LIONEL MESSI,06/07,LALIGA,35,2007-05-20,A,FC BARCELONA,ATLETICO DE MADRID,0:06,RW,80,0:05,LEFT-FOOTED SHOT,GIOVANNI VAN BRONCKHORST
LIONEL MESSI,06/07,LALIGA,37,2007-06-09,H,FC BARCELONA,RCD ESPANYOL BARCELONA,2:02,RW,57,2:01,RIGHT-FOOTED SHOT,DECO
LIONEL MESSI,06/07,LALIGA,37,2007-06-09,H,FC BARCELONA,RCD ESPANYOL BARCELONA,2:02,RW,43,1:01,OTHER,GIANLUCA ZAMBROTTA
LIONEL MESSI,06/07,LALIGA,38,2007-06-17,A,FC BARCELONA,GIMNASTIC DE TARRAGONA,1:05,RW,51,0:04,LEFT-FOOTED SHOT,DECO
LIONEL MESSI,06/07,LALIGA,38,2007-06-17,A,FC BARCELONA,GIMNASTIC DE TARRAGONA,1:05,RW,34,0:02,LEFT-FOOTED SHOT,DECO
CRISTIANO RONALDO,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-09-19,A,MANCHESTER UNITED,SPORTING CP,0:01,RW,62,0:01,HEADER,WES BROWN
LIONEL MESSI,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-09-19,H,FC BARCELONA,OLYMPIQUE LYON,3:00,RW,82,2:00,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,07/08,LALIGA,4,2007-09-22,H,FC BARCELONA,SEVILLA FC,2:01,RW,72,1:00,LEFT-FOOTED SHOT,THIERRY HENRY
LIONEL MESSI,07/08,LALIGA,4,2007-09-22,H,FC BARCELONA,SEVILLA FC,2:01,RW,79,2:00,PENALTY,OTHER
LIONEL MESSI,07/08,LALIGA,5,2007-09-26,H,FC BARCELONA,REAL ZARAGOZA,4:01,RW,10,2:01,LEFT-FOOTED SHOT,DECO
LIONEL MESSI,07/08,LALIGA,5,2007-09-26,H,FC BARCELONA,REAL ZARAGOZA,4:01,RW,5,1:00,LEFT-FOOTED SHOT,THIERRY HENRY
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,8,2007-09-29,A,MANCHESTER UNITED,BIRMINGHAM CITY,0:01,RW,51,0:01,OTHER,OTHER
LIONEL MESSI,07/08,LALIGA,6,2007-09-29,A,FC BARCELONA,LEVANTE UD,1:04,RW,50,0:04,LEFT-FOOTED SHOT,DECO
LIONEL MESSI,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-10-02,A,FC BARCELONA,VFB STUTTGART,0:02,RW,66,0:02,DEFLECTED SHOT ON GOAL,THIERRY HENRY
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,9,2007-10-06,H,MANCHESTER UNITED,WIGAN ATHLETIC,4:00,RW,76,3:00,RIGHT-FOOTED SHOT,WAYNE ROONEY
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,9,2007-10-06,H,MANCHESTER UNITED,WIGAN ATHLETIC,4:00,RW,59,2:00,HEADER,RYAN GIGGS
LIONEL MESSI,07/08,LALIGA,7,2007-10-07,H,FC BARCELONA,ATLETICO DE MADRID,3:00,RW,19,2:00,LEFT-FOOTED SHOT,RONALDINHO GAACHO
CRISTIANO RONALDO,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-10-23,A,MANCHESTER UNITED,DYNAMO KYIV,2:04,RW,41,1:03,PENALTY,OTHER
